ensembl_gene_id	external_gene_id	affy_chicken	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	ENSGALG00000000003	PANX2	GgaAffx.23849.1.S1_at	135.714080099591	-0.744508250126985	0.270410215647473	-2.75325489587857	0.00590059352299323	0.0618081687710564
2	ENSGALG00000000003	PANX2	Gga.14853.1.S1_at	135.714080099591	-0.744508250126985	0.270410215647473	-2.75325489587857	0.00590059352299323	0.0618081687710564
3	ENSGALG00000000004	RFK	Gga.19197.1.S1_s_at	634.9255384465	-0.0652668211618306	0.298077061379643	-0.218959556497721	0.826681552524158	0.920683741904184
4	ENSGALG00000000004	RFK	GgaAffx.11465.1.S1_at	634.9255384465	-0.0652668211618306	0.298077061379643	-0.218959556497721	0.826681552524158	0.920683741904184
5	ENSGALG00000000011	C10orf88	GgaAffx.17.1.S1_at	99.9850790095284	0.128375984496273	0.204392105279331	0.628086805607432	0.529947076092399	0.739916073904987
6	ENSGALG00000000013	DUSP11	Gga.9124.1.S1_at	50.9325897205408	0.790067837932965	0.20591758166158	3.83681583455764	0.00012463986985294	0.00589041669352539
7	ENSGALG00000000017		GgaAffx.27.1.S1_at	1.82834536481488	0.0485865773978189	0.377391694583129	0.128743101915606	0.897560928791361	NA
8	ENSGALG00000000019	AAK1	GgaAffx.30.1.S1_at	28.1523564342644	0.435251586304111	0.237708253806976	1.83103270220286	0.0670956621243926	0.237660341861731
9	ENSGALG00000000019	AAK1	GgaAffx.30.2.S1_s_at	28.1523564342644	0.435251586304111	0.237708253806976	1.83103270220286	0.0670956621243926	0.237660341861731
10	ENSGALG00000000033	NFU1	Gga.12168.1.S1_s_at	155.919473810223	0.451731650459504	0.16459587410477	2.74448951358261	0.00606050907080175	0.0623696914807409
11	ENSGALG00000000033	NFU1	GgaAffx.13222.1.S1_at	155.919473810223	0.451731650459504	0.16459587410477	2.74448951358261	0.00606050907080175	0.0623696914807409
12	ENSGALG00000000040	FAM195A	Gga.8178.1.S1_at	0.903774909505539	0.429881034524631	0.377652093347442	1.13829909087552	0.254995613494335	NA
13	ENSGALG00000000040	FAM195A	Gga.15226.1.S1_s_at	0.903774909505539	0.429881034524631	0.377652093347442	1.13829909087552	0.254995613494335	NA
14	ENSGALG00000000041	GNAI3	Gga.1134.1.S1_at	1072.76964481743	0.365436989363863	0.146140210682394	2.50059164180395	0.0123986050335696	0.0909600303531014
15	ENSGALG00000000041	GNAI3	Gga.1134.1.S2_at	1072.76964481743	0.365436989363863	0.146140210682394	2.50059164180395	0.0123986050335696	0.0909600303531014
16	ENSGALG00000000043	USF1	GgaAffx.250.2.S1_at	1.45652002849976	-0.267941191503365	0.38407588200333	-0.697625662162878	0.485411328619475	NA
17	ENSGALG00000000044	WFIKKN1	GgaAffx.47.1.S1_at	0.836241845929777	-0.0308082987246953	0.376920133609731	-0.0817369410056367	0.934855901953431	NA
18	ENSGALG00000000048		GgaAffx.50.1.S1_at	1.21169631580672	0.295092923333863	0.350209174134051	0.842619054922043	0.399441530661085	NA
19	ENSGALG00000000049	CSDC2	Gga.9779.1.S1_at	8.79156902011861	0.192822774304506	0.274166728668361	0.703304792820976	0.481865824472983	0.705155765727733
20	ENSGALG00000000054	OAT	Gga.12529.1.S1_at	7088.48921370021	0.121625545788877	0.154593657569942	0.786743438901109	0.43143206979374	0.667504347121558
21	ENSGALG00000000054	OAT	GgaAffx.12708.1.S1_s_at	7088.48921370021	0.121625545788877	0.154593657569942	0.786743438901109	0.43143206979374	0.667504347121558
22	ENSGALG00000000055	LAMTOR3	Gga.4355.2.S1_s_at	178.735734251248	0.433844740975758	0.190345218801533	2.27925210681606	0.0226520832368651	0.127338661768395
23	ENSGALG00000000056	DAPP1	Gga.20081.1.S1_s_at	29.5764983154039	-0.198716988125437	0.249958790369869	-0.794998998960554	0.426614084454481	0.662962551848721
24	ENSGALG00000000059	TUBB3	Gga.9143.1.S1_x_at	102.875428819844	-0.223862956693491	0.266518218264923	-0.83995367427741	0.400934361285494	0.642715287448273
25	ENSGALG00000000062	ARMC1	GgaAffx.11437.1.S1_at	1836.43942278617	-0.356117703787119	0.170523716842899	-2.08837638763882	0.0367638957355804	0.169544136184831
26	ENSGALG00000000062	ARMC1	Gga.9825.2.S1_s_at	1836.43942278617	-0.356117703787119	0.170523716842899	-2.08837638763882	0.0367638957355804	0.169544136184831
27	ENSGALG00000000062	ARMC1	GgaAffx.9875.1.S1_s_at	1836.43942278617	-0.356117703787119	0.170523716842899	-2.08837638763882	0.0367638957355804	0.169544136184831
28	ENSGALG00000000065	PSMA5	GgaAffx.12408.1.S1_at	261.484361903664	0.708743446273296	0.211365014766442	3.353172931937	0.000798907735495812	0.0183765083403537
29	ENSGALG00000000067	SPR	Gga.13308.1.S1_at	101.138777528153	0.200470870247011	0.178751958453819	1.12150307040582	0.262073785300747	0.510299627856028
30	ENSGALG00000000067	SPR	GgaAffx.26561.1.S1_s_at	101.138777528153	0.200470870247011	0.178751958453819	1.12150307040582	0.262073785300747	0.510299627856028
31	ENSGALG00000000067	SPR	GgaAffx.26561.1.S1_at	101.138777528153	0.200470870247011	0.178751958453819	1.12150307040582	0.262073785300747	0.510299627856028
32	ENSGALG00000000071	C11orf82	GgaAffx.63.1.S1_at	46.0035850419758	-0.362287640587855	0.21849289062653	-1.658120955556	0.0972930549883247	0.292580048765584
33	ENSGALG00000000075	SCRIB	GgaAffx.11265.2.S1_at	43.3287198628132	0.307277609228749	0.221268238146997	1.38871087781073	0.164920685085923	0.394549355140759
34	ENSGALG00000000075	SCRIB	GgaAffx.25293.1.S1_at	43.3287198628132	0.307277609228749	0.221268238146997	1.38871087781073	0.164920685085923	0.394549355140759
35	ENSGALG00000000075	SCRIB	GgaAffx.11265.1.S1_at	43.3287198628132	0.307277609228749	0.221268238146997	1.38871087781073	0.164920685085923	0.394549355140759
36	ENSGALG00000000076	NRBP2	GgaAffx.24355.1.S1_at	34.4681717911142	-0.816858733966699	0.319166826588236	-2.5593472313479	0.0104868936533072	0.0827715534778886
